id,category,product_class,product_sub_class,cost,margin,UPC_code,sku,date_marked_clearance,description,age,inventory_location,msrp,promotional_price,model_number,color,created_at,updated_at
67,Home Audio,Speakers,In-Wall Speakers,6107,16,2147483647,594,2/10/1935,test 67,41,US,3786,403,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
68,Home Audio,LCD,Power speakers,1633,16,2147483647,6454,2/18/1918,test 68,43,US,1659,8489,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
69,Accessories,Digital,"21"" - 30""",4524,15,2147483647,2891,10/7/1984,test 69,12,US,823,5973,1188117956,black,7/16/2009 9:23,7/16/2009 9:23
70,Cameras,Surge Protectors,In-Wall Speakers,2875,16,2147483647,5946,11/19/1914,test 70,7,US,7413,3446,171083425,yellow,7/16/2009 9:23,7/16/2009 9:23
71,Accessories,Surge Protectors,"41"" and above",8354,15,2147483647,9943,2/10/1990,test 71,14,US,5301,7339,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
72,Accessories,Surge Protectors,"41"" and above",3157,15,2147483647,1039,3/18/1952,test 72,47,US,6606,6231,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
73,Accessories,Speakers,"31""- 40""",1267,15,2147483647,8735,10/25/1933,test 73,21,US,2455,8610,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
74,Accessories,Surge Protectors,"31""- 40""",7446,15,1017923742,2234,5/17/1929,test 74,20,US,7249,9978,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
75,Home Audio,Speakers,"31""- 40""",180,16,2147483647,3293,6/6/1962,test 75,21,US,1750,1904,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
76,Cameras,LCD,In-Wall Speakers,940,16,2147483647,7915,6/4/1972,test 76,11,US,5283,4110,2047158189,white,7/16/2009 9:23,7/16/2009 9:23
77,Televisions,Digital,"41"" and above",6873,15,2147483647,777,7/19/1923,test 77,10,US,8323,8984,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
78,Cameras,Surge Protectors,"41"" and above",6407,15,2147483647,3288,7/18/1986,test 78,33,US,4402,4673,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
79,Cameras,LCD,"31""- 40""",7933,15,1939250456,3762,2/25/1919,test 79,41,US,927,9945,890259025,green,7/16/2009 9:23,7/16/2009 9:23
80,Televisions,Speakers,"21"" - 30""",7715,15,2147483647,4466,2/20/1973,test 80,50,US,7893,2203,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
81,Accessories,Digital,"41"" and above",1525,16,2147483647,3302,11/12/1990,test 81,33,US,1580,422,1858444937,yellow,7/16/2009 9:23,7/16/2009 9:23
82,Home Audio,Speakers,"21"" - 30""",4013,15,2147483647,9641,2/15/1992,test 82,16,US,2136,3574,208346973,blue,7/16/2009 9:23,7/16/2009 9:23
83,Cameras,Digital,"31""- 40""",9721,15,2147483647,4304,5/2/1996,test 83,25,US,2698,5047,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
84,Home Audio,Surge Protectors,Power speakers,6273,16,2147483647,4219,3/13/1975,test 84,40,US,8479,5899,1952965346,blue,7/16/2009 9:23,7/16/2009 9:23
85,Televisions,Surge Protectors,"21"" - 30""",3005,15,2011380557,7416,8/21/1952,test 85,10,US,9371,5299,1656179590,blue,7/16/2009 9:23,7/16/2009 9:23
86,Cameras,Speakers,"31""- 40""",9039,15,2147483647,6012,9/17/1918,test 86,27,US,8357,5360,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
87,Televisions,Digital,Power speakers,2212,16,2147483647,6699,1/14/1953,test 87,48,US,4153,9769,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
88,Accessories,Surge Protectors,"31""- 40""",316,16,373364172,8855,1/21/1931,test 88,26,US,3656,6298,1885913837,red,7/16/2009 9:23,7/16/2009 9:23
89,Accessories,Digital,"21"" - 30""",2947,16,2147483647,1930,2/20/1956,test 89,31,US,4587,1,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
90,Accessories,LCD,"41"" and above",9180,15,2147483647,986,4/14/2007,test 90,43,US,3219,8094,722240724,black,7/16/2009 9:23,7/16/2009 9:23
91,Accessories,Speakers,"41"" and above",4480,15,2147483647,9716,10/24/2004,test 91,37,US,1518,6217,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
92,Home Audio,Digital,In-Wall Speakers,421,16,1707515091,5653,9/18/2008,test 92,5,US,7796,2644,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
93,Televisions,Digital,"21"" - 30""",81,16,2147483647,9148,5/24/1987,test 93,15,US,6660,432,172248172,white,7/16/2009 9:23,7/16/2009 9:23
94,Accessories,Speakers,"31""- 40""",6165,15,1356443569,4931,5/17/1909,test 94,3,US,1684,7087,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
95,Accessories,LCD,"31""- 40""",5222,16,2147483647,5879,6/5/1982,test 95,44,US,8449,1482,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
96,Home Audio,LCD,"31""- 40""",7411,16,2147483647,9312,11/23/1956,test 96,17,US,8154,6685,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
97,Home Audio,Surge Protectors,"41"" and above",5112,16,2147483647,4405,1/6/1967,test 97,27,US,7356,2928,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
98,Cameras,Surge Protectors,"21"" - 30""",2605,15,2147483647,8846,1/20/1965,test 98,25,US,6629,6185,1967377200,red,7/16/2009 9:23,7/16/2009 9:23
99,Accessories,Digital,"31""- 40""",9242,15,2147483647,1886,6/1/1976,test 99,23,US,1365,452,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
100,Accessories,Speakers,In-Wall Speakers,8460,15,2147483647,2314,3/20/2003,test 100,23,US,9407,6525,654240594,red,7/16/2009 9:23,7/16/2009 9:23
101,Cameras,Speakers,Power speakers,7975,16,2147483647,5328,10/16/1998,test 101,40,US,1981,2597,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
102,Televisions,Speakers,"41"" and above",3938,15,2147483647,1654,6/20/1929,test 102,3,US,3494,4881,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
103,Televisions,Surge Protectors,"21"" - 30""",2462,16,2147483647,3558,9/12/1978,test 103,15,US,3418,313,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
104,Accessories,LCD,"21"" - 30""",9167,16,2147483647,606,8/23/1925,test 104,8,US,7588,1859,312727105,red,7/16/2009 9:23,7/16/2009 9:23
105,Accessories,Digital,"21"" - 30""",834,15,2147483647,5100,7/6/1949,test 105,19,US,453,687,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
106,Cameras,LCD,"21"" - 30""",6040,16,2147483647,6286,4/3/1958,test 106,31,US,6,8215,1721135072,green,7/16/2009 9:23,7/16/2009 9:23
107,Televisions,Digital,In-Wall Speakers,4683,16,2147483647,3163,7/16/1970,test 107,8,US,3995,2568,1675694420,red,7/16/2009 9:23,7/16/2009 9:23
108,Televisions,Speakers,In-Wall Speakers,5857,16,2147483647,4941,3/23/1990,test 108,9,US,2250,7650,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
109,Televisions,Speakers,Power speakers,7405,16,319081263,6478,10/22/1988,test 109,17,US,4332,3264,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
110,Cameras,Surge Protectors,"21"" - 30""",6434,15,2147483647,4211,10/13/1986,test 110,40,US,7864,9529,1921651599,green,7/16/2009 9:23,7/16/2009 9:23
111,Televisions,Surge Protectors,"31""- 40""",7178,15,2147483647,1764,2/19/1966,test 111,30,US,8341,6358,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
112,Accessories,LCD,Power speakers,995,16,2147483647,1439,6/23/1935,test 112,23,US,3383,2161,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
113,Cameras,Surge Protectors,"31""- 40""",5699,16,2147483647,4251,11/18/1999,test 113,20,US,40,5758,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
114,Cameras,LCD,In-Wall Speakers,6663,15,2147483647,7335,9/27/1997,test 114,19,US,7979,5823,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
115,Accessories,Speakers,Power speakers,5837,15,2147483647,4657,9/5/1976,test 115,27,US,7847,8676,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
116,Accessories,Digital,"31""- 40""",4314,16,2147483647,4028,11/20/1923,test 116,20,US,6597,6204,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
117,Home Audio,Speakers,Power speakers,2827,15,2147483647,9830,5/11/2004,test 117,16,US,4600,3684,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
118,Home Audio,Speakers,Power speakers,3393,16,2147483647,7630,8/23/1996,test 118,1,US,2948,4728,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
119,Home Audio,Digital,In-Wall Speakers,5296,16,2147483647,6352,4/10/1913,test 119,28,US,7825,3483,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
120,Televisions,Surge Protectors,"21"" - 30""",598,16,1265691394,7047,3/6/1944,test 120,20,US,3319,9386,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
121,Televisions,Surge Protectors,In-Wall Speakers,4198,16,1115182006,9124,5/16/1910,test 121,13,US,5069,9082,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
122,Cameras,LCD,"31""- 40""",2632,16,2147483647,6357,5/22/1989,test 122,22,US,4844,9295,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
123,Accessories,Speakers,"21"" - 30""",958,16,2147483647,875,2/21/2002,test 123,7,US,9871,1152,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
124,Televisions,LCD,"31""- 40""",7265,15,2147483647,4121,8/3/1939,test 124,21,US,8085,6094,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
125,Home Audio,Digital,"21"" - 30""",7744,16,2147483647,4983,3/19/1950,test 125,12,US,9232,4141,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
126,Home Audio,Digital,"21"" - 30""",4594,15,2147483647,5672,9/21/1917,test 126,21,US,6807,6918,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
127,Televisions,Digital,In-Wall Speakers,26,15,1730120362,5032,8/22/1982,test 127,47,US,9615,1582,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
128,Accessories,LCD,"21"" - 30""",5968,15,1823760171,7500,7/4/1937,test 128,44,US,7744,8032,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
129,Accessories,Digital,In-Wall Speakers,374,16,2147483647,4399,2/25/1953,test 129,12,US,6505,8417,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
130,Cameras,Surge Protectors,"21"" - 30""",3358,15,2147483647,1739,7/9/2004,test 130,4,US,9836,8143,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
131,Home Audio,Digital,"21"" - 30""",5840,16,2147483647,7849,10/24/2004,test 131,34,US,6084,9975,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
132,Cameras,Surge Protectors,"21"" - 30""",386,16,2147483647,9829,9/4/1933,test 132,49,US,9946,7794,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
133,Accessories,LCD,"21"" - 30""",4242,16,2147483647,9280,2/4/2008,test 133,8,US,5002,2251,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
134,Home Audio,Surge Protectors,Power speakers,9357,15,1209055031,3124,7/14/1941,test 134,22,US,9894,8618,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
135,Cameras,Surge Protectors,"21"" - 30""",3187,16,2147483647,8634,9/1/1980,test 135,11,US,9077,8542,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
136,Cameras,Speakers,"21"" - 30""",4266,16,2147483647,7485,2/21/1965,test 136,41,US,510,6455,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
137,Home Audio,Surge Protectors,"31""- 40""",6621,15,2147483647,7365,9/27/1961,test 137,24,US,5913,4485,1718011513,green,7/16/2009 9:23,7/16/2009 9:23
138,Televisions,Surge Protectors,"21"" - 30""",9236,15,2147483647,9482,11/24/1913,test 138,25,US,6617,5691,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
139,Home Audio,Surge Protectors,"41"" and above",3738,16,2147483647,6319,9/21/1944,test 139,36,US,5104,4646,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
140,Accessories,LCD,In-Wall Speakers,8686,15,2147483647,7298,8/19/1928,test 140,46,US,1759,5437,1923831923,green,7/16/2009 9:23,7/16/2009 9:23
141,Accessories,LCD,Power speakers,404,16,2147483647,1510,6/7/1921,test 141,36,US,5932,9339,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
142,Televisions,LCD,"21"" - 30""",9269,16,1634258400,2754,7/23/1943,test 142,1,US,157,7596,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
143,Home Audio,Digital,"21"" - 30""",1745,15,2147483647,9998,7/17/1927,test 143,5,US,2798,6730,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
144,Cameras,LCD,"41"" and above",4074,16,2147483647,3515,7/3/1930,test 144,21,US,7650,8737,1360907380,yellow,7/16/2009 9:23,7/16/2009 9:23
145,Televisions,Surge Protectors,"31""- 40""",2352,16,2147483647,6402,4/1/1932,test 145,45,US,2685,4193,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
146,Accessories,Digital,In-Wall Speakers,1252,16,2147483647,6812,7/12/1980,test 146,42,US,5116,8398,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
147,Home Audio,Speakers,"21"" - 30""",6316,16,2147483647,6330,6/5/1937,test 147,10,US,307,2421,35877040,green,7/16/2009 9:23,7/16/2009 9:23
148,Televisions,Speakers,"31""- 40""",6036,16,2147483647,6589,9/26/1971,test 148,10,US,9866,2686,1054010821,green,7/16/2009 9:23,7/16/2009 9:23
149,Home Audio,Surge Protectors,"41"" and above",4228,15,2147483647,6593,8/4/1969,test 149,41,US,7361,2709,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
150,Accessories,LCD,In-Wall Speakers,8121,16,2147483647,7156,8/7/1930,test 150,40,US,7065,2700,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
151,Home Audio,Speakers,"21"" - 30""",2029,15,1912961764,2026,4/2/2007,test 151,5,US,1014,1518,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
152,Cameras,Digital,"31""- 40""",8799,16,975725316,4904,7/9/2000,test 152,28,US,6518,4314,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
153,Televisions,LCD,"21"" - 30""",3066,16,2147483647,303,6/27/1958,test 153,39,US,8570,666,2147483647,red,7/16/2009 9:23,7/16/2009 9:23
154,Accessories,Digital,"21"" - 30""",1611,16,2147483647,8112,2/3/1946,test 154,14,US,2980,9010,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
155,Home Audio,Speakers,"41"" and above",6667,16,2147483647,9205,2/1/1986,test 155,20,US,1595,8607,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
156,Televisions,Surge Protectors,"31""- 40""",6379,15,2147483647,1256,3/13/1937,test 156,21,US,8420,8213,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
157,Cameras,Speakers,In-Wall Speakers,3956,15,2147483647,9795,5/14/1912,test 157,32,US,8266,5956,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
158,Accessories,Speakers,"31""- 40""",2773,15,2147483647,1905,4/5/1916,test 158,42,US,5146,1703,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
159,Televisions,Surge Protectors,"41"" and above",2333,16,2147483647,9628,7/16/1950,test 159,27,US,2748,6472,2147483647,white,7/16/2009 9:23,7/16/2009 9:23
160,Televisions,LCD,In-Wall Speakers,9874,15,2098564355,298,9/5/1912,test 160,7,US,1413,3279,2147483647,blue,7/16/2009 9:23,7/16/2009 9:23
161,Accessories,Speakers,Power speakers,3598,15,2147483647,1763,9/9/1912,test 161,16,US,424,9090,2147483647,green,7/16/2009 9:23,7/16/2009 9:23
162,Cameras,LCD,"41"" and above",24,15,2147483647,3942,9/24/1941,test 162,45,US,3260,1112,2147483647,yellow,7/16/2009 9:23,7/16/2009 9:23
163,Televisions,Surge Protectors,In-Wall Speakers,3692,15,2147483647,8649,7/27/1979,test 163,5,US,5141,1956,2147483647,black,7/16/2009 9:23,7/16/2009 9:23
164,Cameras,LCD,"21"" - 30""",4960,16,2147483647,7516,11/14/1927,test 164,44,US,6208,6071,1001110667,black,7/16/2009 9:23,7/16/2009 9:23
165,Home Audio,Digital,In-Wall Speakers,7817,15,2147483647,4509,11/21/1958,test 165,50,US,7833,6513,1808926234,black,7/16/2009 9:23,7/16/2009 9:23
